Observations id,cop_lat,pair,hyb,female sp,female ID,male sp,male ID,scorer initials,dur,att_dur,att_count,att_mean,att_sd,att_por,cop_dur,cop_count,cop,cop_mean,cop_sd,cop_por,agg_count,avo_count,intro_dur,intro_count,intro_mean,intro_sd,intro_por,land_count,vib_dur,vib_count,vib_mean,vib_sd,vib_por,female_age,court,male_mass,female_mass
amerF23502xsanM23057,NA,AS,1,amer,23502,sans,23057,LY,930.43,340.946,11,30.995,40.116,0.366,0,0,0,0,0,0,1,1,13.498,1,13.498,0,0.015,1,0,0,0,0,0,22,0,0.01807,0.02162
amerF23504xsanM23024,NA,AS,1,amer,23504,sans,23024,LY,230.23,162.547,2,81.273,45.973,0.706,0,0,0,0,0,0,9,0,51.276,2,25.638,18.577,0.223,1,0,0,0,0,0,24,1,0.01547,0.0235
amerF23505xsanM23060,NA,AS,1,amer,23505,sans,23060,LY,882.906,590.916,8,73.865,51.743,0.669,0,0,0,0,0,0,4,0,75.219,1,75.219,0,0.085,1,0,0,0,0,0,22,0,0.01775,0.03632
amerF23508xsanM23082,NA,AS,1,amer,23508,sans,23082,LY,919.92,251.103,9,27.9,17.4,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0.01676,0.02099
amerF23511xsanM23027,NA,AS,1,amer,23511,sans,23027,LY,72.57,44.237,1,44.237,0,0.61,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0.01325,0.0203
amerF23514xsanM23078,NA,AS,1,amer,23514,sans,23078,LY,908.41,483.376,18,26.854,26.209,0.532,0,0,0,0,0,0,0,5,282.909,10,28.291,26.781,0.311,1,1.002,1,1.002,0,0.001,22,1,0.01938,0.02117
amerF23521xamerM23089,NA,AA,0,amer,23521,amer,23089,LY,880.38,174.251,29,6.009,5.921,0.198,0,0,0,0,0,0,3,10,541.974,23,23.564,17.234,0.616,1,134.248,15,8.95,4.59,0.152,22,1,0.02042,0.0306
amerF23522xsanM23031,NA,AS,1,amer,23522,sans,23031,LY,963.47,85.313,1,85.313,0,0.089,0,0,0,0,0,0,3,0,66.768,1,66.768,0,0.069,1,0,0,0,0,0,22,0,0.01584,0.02009
amerF23527xamerM23075,NA,AA,0,amer,23527,amer,23075,LY,925.42,494.092,28,17.646,17.93,0.534,0,0,0,0,0,0,0,1,48.234,1,48.234,0,0.052,1,0,0,0,0,0,24,0,0.0166,0.02743
amerF23531xsanM23003,NA,AA,0,amer,23531,amer,23003,LY,866.36,707.652,6,117.942,163.463,0.817,0,0,0,0,0,0,9,3,223.094,11,20.281,12.785,0.258,1,328.421,9,36.491,23.756,0.379,24,1,0.01467,0.02497
amerF23545xamerM23031,NA,AA,0,amer,23545,amer,23031,LY,181.18,163.98,2,81.99,102.457,0.905,0,0,0,0,0,0,13,0,40.986,2,20.493,3.541,0.226,1,0,0,0,0,0,22,1,0.01313,0.02364
amerF23703xsanM23045,NA,AS,1,amer,23703,sans,23045,NH,933.43,597.723,12,49.81,75.738,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0.0201,0.022
