ID,sp,sex,red,lon,lat,acc,link
471,ame,m,1,-116.925437507296,34.1450267655343,10,https://www.inaturalist.org/observations/70802771
737,ame,m,1,-116.806571250514,34.2200511407586,404,https://www.inaturalist.org/observations/223391342
529,ame,m,1,-117.19166367659,34.236019181631,28850,https://www.inaturalist.org/observations/48249386
682,ame,m,1,-116.802656159789,34.2635630488381,120,https://www.inaturalist.org/observations/10971099
738,ame,m,1,-116.841798148836,34.2872185799266,28850,https://www.inaturalist.org/observations/223389127
98,ame,m,1,-119.117455780452,34.8079657782512,2000,https://www.inaturalist.org/observations/171758898
616,ame,m,1,-119.103302593708,34.8124873067194,,https://www.inaturalist.org/observations/37892845
100,ame,m,1,-119.200733951726,34.8347694346835,2000,https://www.inaturalist.org/observations/171396488
534,ame,m,1,-118.59007343976,36.0020416947471,244,https://www.inaturalist.org/observations/46502540
644,ame,m,1,-118.553861080104,36.1705734190621,,https://www.inaturalist.org/observations/27911590
611,ame,m,1,-117.073448448563,36.2279575905189,,https://www.inaturalist.org/observations/37892851
646,ame,m,1,-115.627830182541,36.3058982178321,130,https://www.inaturalist.org/observations/27072555
610,ame,m,1,-115.685432849949,36.3083016732999,,https://www.inaturalist.org/observations/37892852
608,ame,m,1,-115.637033767115,36.3570797797236,,https://www.inaturalist.org/observations/37892854
294,ame,m,1,-118.168193429992,36.4455215900176,33,https://www.inaturalist.org/observations/121455436
83,ame,m,1,-118.215245864308,36.45281222024,,https://www.inaturalist.org/observations/177304838
299,ame,m,1,-118.5593457744,36.4827506247128,,https://www.inaturalist.org/observations/120373854
493,ame,m,1,-118.737036492279,37.1007374397099,130,https://www.inaturalist.org/observations/53627053
703,ame,m,1,-118.637344370027,37.1611894726915,31,https://www.inaturalist.org/observations/3760687
669,ame,m,1,-118.563037910072,37.1780270382693,,https://www.inaturalist.org/observations/16022416
617,ame,m,1,-118.589128110336,37.2470494634756,,https://www.inaturalist.org/observations/37892072
614,ame,m,1,-118.182319862129,37.3849783772607,,https://www.inaturalist.org/observations/37892847
745,ame,m,1,-118.175729310772,37.3951406685615,200,https://www.inaturalist.org/observations/223130936
739,ame,m,1,-118.177789415459,37.3972007732482,280,https://www.inaturalist.org/observations/223387209
688,ame,m,1,-119.406146900854,37.4943601261018,,https://www.inaturalist.org/observations/8238773
67,ame,m,1,-118.198724894905,37.5288824864576,279,https://www.inaturalist.org/observations/183177786
638,ame,m,1,-118.224409316973,37.5453008965363,508,https://www.inaturalist.org/observations/29607828
672,ame,m,1,-118.221742774543,37.5466341677513,,https://www.inaturalist.org/observations/14736906
476,ame,m,1,-118.68408912637,37.5490911324318,50,https://www.inaturalist.org/observations/64963807
505,ame,m,1,-118.243476433077,37.5617505203225,,https://www.inaturalist.org/observations/51615000
503,ame,m,1,-118.968428164144,37.5666778269866,27,https://www.inaturalist.org/observations/52267699
258,ame,m,1,-118.98339290728,37.5922552306291,59,https://www.inaturalist.org/observations/125197528
96,ame,m,1,-118.835890303533,37.6141092848921,,https://www.inaturalist.org/observations/172196836
433,ame,m,1,-118.835912599038,37.6141137439931,7,https://www.inaturalist.org/observations/82127441
219,ame,m,1,-118.934623719058,37.7531797285469,,https://www.inaturalist.org/observations/134010002
670,ame,m,1,-118.676517572782,37.7713193516323,1710,https://www.inaturalist.org/observations/15433023
289,ame,m,1,-119.491734886474,37.8418667893989,4,https://www.inaturalist.org/observations/121930479
290,ame,m,1,-119.491547604229,37.8423126995043,4,https://www.inaturalist.org/observations/121930328
224,ame,m,1,-119.271620281172,37.9214572841019,14400,https://www.inaturalist.org/observations/132677569
267,ame,m,1,-119.269292630422,37.9222599222915,1210,https://www.inaturalist.org/observations/123903063
268,ame,m,1,-119.269292630422,37.9222599222915,1210,https://www.inaturalist.org/observations/123903025
269,ame,m,1,-119.269292630422,37.9222599222915,1210,https://www.inaturalist.org/observations/123903021
404,ame,m,1,-119.270411864787,37.9239365442876,1360,https://www.inaturalist.org/observations/84515777
399,ame,m,1,-119.26801286842,37.9256666754963,122,https://www.inaturalist.org/observations/84852659
671,ame,m,1,-119.266853502146,37.9716310891553,15,https://www.inaturalist.org/observations/15044586
359,ame,m,1,-120.265861583958,38.2457231127085,190,https://www.inaturalist.org/observations/95221032
750,ame,m,1,-120.314795758919,38.3112183889815,15,https://www.inaturalist.org/observations/222487972
618,ame,m,1,-119.375196280442,38.3489513020957,,https://www.inaturalist.org/observations/37892071
446,ame,m,1,-115.119439153235,38.386933924869,,https://www.inaturalist.org/observations/80363486
235,ame,m,1,-120.079747624189,38.4087656836267,,https://www.inaturalist.org/observations/127256485
508,ame,m,1,-115.774614871018,38.5486030926627,,https://www.inaturalist.org/observations/50932629
767,ame,m,1,-115.774061942487,38.549708949724,,https://www.inaturalist.org/observations/221133680
118,ame,m,1,-107.686906958027,38.555050952786,4,https://www.inaturalist.org/observations/168370190
276,ame,m,1,-106.73075529644,38.6115923541437,28210,https://www.inaturalist.org/observations/123012389
280,ame,m,1,-106.729212447476,38.6127249658113,28210,https://www.inaturalist.org/observations/123012349
273,ame,m,1,-106.700567182308,38.6139423003989,28210,https://www.inaturalist.org/observations/123093893
