observationID,scorer_ID,land,dur,att_dur,att_count,att_mean,att_sd,att_por,cop_dur,cop_mean,cop_sd,cop_por,agg_count,avo_count,intro_dur,intro_count,intro_mean,intro_sd,intro_por,vib_dur,vib_count,vib_mean,vib_sd,vib_por,sp,color,exp_ID,exp_date,time,temp,male_ID,male_age,female_ID,female_age,male_mass,female_mass,cop_count,cop_lat
pt_amerF23501xamerM23058,NH,2.925,861.86,403.526,16,25.22,30.175,0.468,30.57,30.57,0,0.035,0,0,35.257,1,35.257,0,0.041,8,1,8,0,0.009,amer,red,LY,10/20,12:29,27.3,amer23058,86,amer23501,54,0.01559,0.02686,1,823.898
pt_amerF23503xamerM23528,NH,16.685,264.26,97.247,3,32.416,5.156,0.368,14.514,14.514,0,0.055,0,0,42.936,1,42.936,0,0.162,11.21,1,11.21,0,0.042,amer,brown,LY,10/20,12:51,26.9,amer23528,49,amer23503,54,0.01608,0.01948,1,225.914
pt_amerF23504xamerM23078,NH,9.379,147.65,55.505,1,55.505,0,0.376,27.546,27.546,0,0.187,0,0,43.275,1,43.275,0,0.293,6.365,1,6.365,0,0.043,amer,brown,LY,9/19,14:59,26.7,amer23078,NA,amer23504,81,0.01879,0.03669,1,105.334
pt_amerF23508xamerM23082,NH,5.67,923.42,197.374,32,6.168,4.503,0.214,0,0,0,0,1,0,29.556,1,29.556,0,0.032,0,0,0,0,0,amer,brown,LY,10/20,13:25,26.6,amer23082,45,amer23508,99,0.01642,0.02347,0,
pt_amerF23510xamerM23020,LY,9.214,301.3,135.871,8,16.984,20.399,0.451,45.009,45.009,0,0.149,0,0,106.318,1,106.318,0,0.353,8.005,1,8.005,0,0.027,amer,red,LY,9/26,11:42,27.2,amer23020,NA,amer23510,49,0.01931,0.03176,1,243.353
pt_amerF23511xamerM23008,LY,7.211,942.44,182.568,11,16.597,17.193,0.194,0,0,0,0,0,0,10.504,1,10.504,0,0.011,0,0,0,0,0,amer,red,LY,10/20,16:16,27.2,amer23008,NA,amer23511,95,0.01073,0.02123,0,
pt_amerF23514xamerM23005,LY,2.679,933.93,209.965,17,12.351,7.975,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amer,brown,LY,10/20,13:55,27,amer23005,NA,amer23514,106,0.01053,0.02357,0,
pt_amerF23516xamerM23072,LY,3.172,559.56,112.047,17,6.591,5.458,0.2,13.51,13.51,0,0.024,0,0,239.581,14,17.113,8.882,0.428,11.001,1,11.001,0,0.02,amer,brown,LY,10/10,14:28,27,amer23072,NA,amer23516,99,0.01503,0.02481,1,540.618
pt_amerF23517xamerM23056,LY,2.191,800.8,391.439,17,23.026,25.687,0.489,14.199,14.199,0,0.018,0,0,261.989,5,52.398,31.122,0.327,9.284,1,9.284,0,0.012,amer,brown,LY,9/26,12:16,26.4,amer23056,NA,amer23517,50,0.01155,0.03355,1,778.752
pt_amerF23521xamerM23008,LY,3.429,909.91,343.816,24,14.326,23.371,0.378,0,0,0,0,0,0,96.404,3,32.135,14.404,0.106,0,0,0,0,0,amer,red,LY,10/10,14:44,26.8,amer23008,NA,amer23521,86,0.01632,0.03767,0,
